event-id,visible,timestamp,location-long,location-lat,data-decoding-software,gps:horizontal-accuracy-estimate,gps:speed-accuracy-estimate,gps-time-to-fix,ground-speed,heading,height-above-ellipsoid,icarus:ecef-vx,icarus:ecef-vy,icarus:ecef-vz,icarus:ecef-x,icarus:ecef-y,icarus:ecef-z,icarus:reset-counter,icarus:timestamp-accuracy,icarus:timestamp-source,icarus:uplink-counter,import-marked-outlier,location-accuracy-comments,location-error-text,mortality-status,tag-voltage,transmission-protocol,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18433837696,true,2021-04-11 16:35:00.000,-144.5375662,-14.9520099,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18433837697,true,2021-04-11 22:03:00.000,-144.5355492,-14.9511945,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18433837698,true,2021-04-12 05:53:00.000,-144.546321,-14.9429977,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18433837699,true,2021-04-12 15:47:00.000,-144.5343047,-14.9503791,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18433837700,true,2021-04-12 15:48:00.000,-144.5343132,-14.9503872,,,,,,,,,,,,,,,"OK","common-uplink-header",,false,,">10m","alive",4000.0,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18481105722,true,2021-04-12 22:04:00.000,-144.5347768,-14.9507224,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18481105723,true,2021-04-13 22:04:00.000,-144.5315581,-14.9485338,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18481105724,true,2021-04-14 04:19:00.000,-144.5349055,-14.9507654,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18481105725,true,2021-04-14 22:04:00.000,-144.5346051,-14.9506366,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18481105726,true,2021-04-15 15:02:00.000,-144.5402699,-14.9429548,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18481105727,true,2021-04-15 22:01:00.000,-144.5479518,-14.9589622,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18481105728,true,2021-04-16 04:21:00.000,-144.5388966,-14.9526107,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
